variant,canonical
caracas,Caracas
ccs,Caracas
maracaibo,Maracaibo
valencia,Valencia
barquisimeto,Barquisimeto
maracay,Maracay
puerto la cruz,Puerto La Cruz
barcelona,Barcelona
lecheria,Lechería
puerto ordaz,Puerto Ordaz
ciudad guayana,Ciudad Guayana
san cristobal,San Cristóbal
merida,Mérida
maturin,Maturín
cumana,Cumaná
ciudad bolivar,Ciudad Bolívar
los teques,Los Teques
guarenas,Guarenas
guatire,Guatire
punto fijo,Punto Fijo
coro,Coro
acarigua,Acarigua
barinas,Barinas
san felipe,San Felipe
porlamar,Porlamar
valera,Valera
cabimas,Cabimas
puerto cabello,Puerto Cabello
la victoria,La Victoria
san juan de los morros,San Juan de los Morros
